"local_electoral","fecha_recepcion_trep","codigo_candidatura","numero_mesa","numero_lista","total_votos","total_votantes","tiempo_estimado_hora"
"5_17_0_501","2023-04-30 16:48:39.136",1,1,1,131,301,15
"5_17_0_501","2023-04-30 16:48:39.136",1,1,3,36,301,15
"5_17_0_501","2023-04-30 16:48:39.136",1,1,911,116,301,15
"0_0_3_27","2023-04-30 16:49:58.675",1,20,1,175,310,15
"0_0_3_27","2023-04-30 16:49:58.675",1,20,3,62,310,15
"0_0_3_27","2023-04-30 16:49:58.675",1,20,911,61,310,15
"0_0_3_13","2023-04-30 16:51:10.797",1,5,3,56,301,15
"0_0_3_13","2023-04-30 16:51:10.797",1,5,911,53,301,15
"0_0_3_13","2023-04-30 16:51:10.797",1,5,1,169,301,15
"0_0_3_27","2023-04-30 16:57:27.624",1,25,3,67,317,15
"0_0_3_27","2023-04-30 16:57:27.624",1,25,911,64,317,15
"0_0_3_27","2023-04-30 16:57:27.624",1,25,1,166,317,15
"0_0_1_3","2023-04-30 16:58:32.866",1,12,911,49,306,15
"0_0_1_3","2023-04-30 16:58:32.866",1,12,3,60,306,15
"0_0_1_3","2023-04-30 16:58:32.866",1,12,1,176,306,15
"0_0_5_5","2023-04-30 17:03:11.583",1,5,911,48,308,15
"0_0_5_5","2023-04-30 17:03:11.583",1,5,1,170,308,15
"0_0_5_5","2023-04-30 17:03:11.583",1,5,3,66,308,15
"0_0_1_7","2023-04-30 17:03:16.957",1,2,911,45,307,15
"0_0_1_7","2023-04-30 17:03:16.957",1,2,3,77,307,15
"0_0_1_7","2023-04-30 17:03:16.957",1,2,1,161,307,15
"0_0_3_27","2023-04-30 17:03:37.795",1,16,1,166,304,15
"0_0_3_27","2023-04-30 17:03:37.795",1,16,3,56,304,15
"0_0_3_27","2023-04-30 17:03:37.795",1,16,911,69,304,15
"0_0_3_27","2023-04-30 17:06:05.489",1,1,3,68,310,15
"0_0_3_27","2023-04-30 17:06:05.489",1,1,1,162,310,15
"0_0_3_27","2023-04-30 17:06:05.489",1,1,911,55,310,15
"5_15_0_2","2023-04-30 17:06:31.167",1,1,1,38,302,15
"5_15_0_2","2023-04-30 17:06:31.167",1,1,3,246,302,15
"5_15_0_2","2023-04-30 17:06:31.167",1,1,911,16,302,15
"0_0_5_6","2023-04-30 17:06:33.477",1,1,1,159,306,15
"0_0_5_6","2023-04-30 17:06:33.477",1,1,911,62,306,15
"0_0_5_6","2023-04-30 17:06:33.477",1,1,3,57,306,15
"0_0_3_31","2023-04-30 17:07:29.59",1,12,911,47,304,15
"0_0_3_31","2023-04-30 17:07:29.59",1,12,1,177,304,15
"0_0_3_31","2023-04-30 17:07:29.59",1,12,3,60,304,15
"12_0_0_1","2023-04-30 17:09:42.029",1,7,911,51,301,15
"12_0_0_1","2023-04-30 17:09:42.029",1,7,1,162,301,15
"12_0_0_1","2023-04-30 17:09:42.029",1,7,3,72,301,15
"0_0_3_14","2023-04-30 17:10:00.359",1,8,3,75,311,15
"0_0_3_14","2023-04-30 17:10:00.359",1,8,1,149,311,15
"0_0_3_14","2023-04-30 17:10:00.359",1,8,911,62,311,15
"0_0_1_2","2023-04-30 17:10:23.569",1,13,1,164,302,15
"0_0_1_2","2023-04-30 17:10:23.569",1,13,3,59,302,15
"0_0_1_2","2023-04-30 17:10:23.569",1,13,911,44,302,15
"0_0_1_20","2023-04-30 17:10:38.383",1,5,911,39,303,15
"0_0_1_20","2023-04-30 17:10:38.383",1,5,3,92,303,15
"0_0_1_20","2023-04-30 17:10:38.383",1,5,1,135,303,15
"0_0_5_16","2023-04-30 17:10:48.137",1,7,3,77,302,15
"0_0_5_16","2023-04-30 17:10:48.137",1,7,911,34,302,15
"0_0_5_16","2023-04-30 17:10:48.137",1,7,1,162,302,15
"0_0_1_20","2023-04-30 17:11:07.345",1,3,911,26,305,15
"0_0_1_20","2023-04-30 17:11:07.345",1,3,1,154,305,15
"0_0_1_20","2023-04-30 17:11:07.345",1,3,3,98,305,15
"3_21_0_1","2023-04-30 17:11:16.248",1,7,911,31,305,15
"3_21_0_1","2023-04-30 17:11:16.248",1,7,1,167,305,15
"3_21_0_1","2023-04-30 17:11:16.248",1,7,3,99,305,15
"0_0_5_13","2023-04-30 17:11:32.78",1,5,911,42,347,17
"0_0_5_13","2023-04-30 17:11:32.78",1,5,3,89,347,17
"0_0_5_13","2023-04-30 17:11:32.78",1,5,1,195,347,17
"0_0_5_5","2023-04-30 17:14:46.766",1,2,911,57,303,15
"0_0_5_5","2023-04-30 17:14:46.766",1,2,3,69,303,15
"0_0_5_5","2023-04-30 17:14:46.766",1,2,1,157,303,15
"0_0_4_4","2023-04-30 17:15:38.674",1,1,1,147,312,15
"0_0_4_4","2023-04-30 17:15:38.674",1,1,3,115,312,15
"0_0_4_4","2023-04-30 17:15:38.674",1,1,911,22,312,15
"0_0_5_24","2023-04-30 17:15:59.136",1,1,1,116,302,15
"0_0_5_24","2023-04-30 17:15:59.136",1,1,3,83,302,15
"0_0_5_24","2023-04-30 17:15:59.136",1,1,911,66,302,15
"3_21_0_1","2023-04-30 17:16:23.431",1,8,911,34,317,15
"3_21_0_1","2023-04-30 17:16:23.431",1,8,3,106,317,15
"3_21_0_1","2023-04-30 17:16:23.431",1,8,1,164,317,15
"3_21_0_1","2023-04-30 17:16:52.324",1,1,911,35,301,15
"3_21_0_1","2023-04-30 17:16:52.324",1,1,3,107,301,15
"3_21_0_1","2023-04-30 17:16:52.324",1,1,1,145,301,15
"0_0_5_28","2023-04-30 17:17:17.83",1,15,3,78,303,15
"0_0_5_28","2023-04-30 17:17:17.83",1,15,1,167,303,15
"0_0_5_28","2023-04-30 17:17:17.83",1,15,911,43,303,15
"0_0_4_4","2023-04-30 17:17:18.392",1,12,911,20,311,15
"0_0_4_4","2023-04-30 17:17:18.392",1,12,1,159,311,15
"0_0_4_4","2023-04-30 17:17:18.392",1,12,3,102,311,15
"0_0_3_7","2023-04-30 17:18:03.047",1,7,911,59,304,15
"0_0_3_7","2023-04-30 17:18:03.047",1,7,1,182,304,15
"0_0_3_7","2023-04-30 17:18:03.047",1,7,3,44,304,15
"5_19_0_1","2023-04-30 17:19:18.9",1,4,911,13,309,15
"5_19_0_1","2023-04-30 17:19:18.9",1,4,3,129,309,15
"5_19_0_1","2023-04-30 17:19:18.9",1,4,1,161,309,15
"11_31_0_501","2023-04-30 17:19:52.489",1,7,1,152,307,15
"11_31_0_501","2023-04-30 17:19:52.489",1,7,911,60,307,15
"11_31_0_501","2023-04-30 17:19:52.489",1,7,3,78,307,15
"0_0_3_8","2023-04-30 17:20:21.453",1,4,3,87,301,15
"0_0_3_8","2023-04-30 17:20:21.453",1,4,911,39,301,15
"0_0_3_8","2023-04-30 17:20:21.453",1,4,1,154,301,15
"0_0_3_31","2023-04-30 17:20:26.732",1,2,3,75,317,15
"0_0_3_31","2023-04-30 17:20:26.732",1,2,1,176,317,15
"0_0_3_31","2023-04-30 17:20:26.732",1,2,911,47,317,15
"0_0_5_5","2023-04-30 17:20:39.691",1,1,911,57,311,15
"0_0_5_5","2023-04-30 17:20:39.691",1,1,1,167,311,15
"0_0_5_5","2023-04-30 17:20:39.691",1,1,3,64,311,15
"0_0_3_27","2023-04-30 17:21:10.437",1,9,911,57,308,15
"0_0_3_27","2023-04-30 17:21:10.437",1,9,1,156,308,15
"0_0_3_27","2023-04-30 17:21:10.437",1,9,3,73,308,15
"0_0_5_20","2023-04-30 17:21:12.996",1,5,911,60,306,15
"0_0_5_20","2023-04-30 17:21:12.996",1,5,1,166,306,15
"0_0_5_20","2023-04-30 17:21:12.996",1,5,3,64,306,15
"0_0_3_23","2023-04-30 17:21:33.349",1,4,1,175,301,15
"0_0_3_23","2023-04-30 17:21:33.349",1,4,911,37,301,15
"0_0_3_23","2023-04-30 17:21:33.349",1,4,3,67,301,15
"0_0_5_6","2023-04-30 17:22:18.525",1,4,3,48,307,15
"0_0_5_6","2023-04-30 17:22:18.525",1,4,911,61,307,15
"0_0_5_6","2023-04-30 17:22:18.525",1,4,1,175,307,15
"0_0_3_27","2023-04-30 17:22:48.193",1,11,911,72,314,15
"0_0_3_27","2023-04-30 17:22:48.193",1,11,3,52,314,15
"0_0_3_27","2023-04-30 17:22:48.193",1,11,1,165,314,15
"0_0_1_15","2023-04-30 17:23:15.759",1,2,3,73,303,15
"0_0_1_15","2023-04-30 17:23:15.759",1,2,911,34,303,15
"0_0_1_15","2023-04-30 17:23:15.759",1,2,1,176,303,15
"0_0_3_7","2023-04-30 17:24:35.064",1,3,3,42,312,15
"0_0_3_7","2023-04-30 17:24:35.064",1,3,1,202,312,15
"0_0_3_7","2023-04-30 17:24:35.064",1,3,911,45,312,15
"0_0_4_4","2023-04-30 17:24:53.055",1,13,911,33,305,15
"0_0_4_4","2023-04-30 17:24:53.055",1,13,1,156,305,15
"0_0_4_4","2023-04-30 17:24:53.055",1,13,3,87,305,15
"0_0_5_25","2023-04-30 17:25:09.846",1,6,3,50,317,15
"0_0_5_25","2023-04-30 17:25:09.846",1,6,1,193,317,15
"0_0_5_25","2023-04-30 17:25:09.846",1,6,911,55,317,15
"0_0_4_12","2023-04-30 17:25:11.194",1,4,1,178,301,15
"0_0_4_12","2023-04-30 17:25:11.194",1,4,3,74,301,15
"0_0_4_12","2023-04-30 17:25:11.194",1,4,911,32,301,15
"0_0_5_18","2023-04-30 17:25:25.336",1,8,1,154,312,15
"0_0_5_18","2023-04-30 17:25:25.336",1,8,3,89,312,15
"0_0_5_18","2023-04-30 17:25:25.336",1,8,911,46,312,15
"0_0_5_28","2023-04-30 17:25:33.018",1,12,911,48,310,15
"0_0_5_28","2023-04-30 17:25:33.018",1,12,3,93,310,15
"0_0_5_28","2023-04-30 17:25:33.018",1,12,1,150,310,15
"0_0_3_27","2023-04-30 17:25:34.568",1,4,1,139,304,15
"0_0_3_27","2023-04-30 17:25:34.568",1,4,3,73,304,15
